t_min,cgm_true,cgm_twin,cgm_true_cf,cgm_twin_cf
0.0,165.7939493687905,138.41850466320636,165.7939493687905,138.41850466320636
3.0,161.58202232204695,138.5684308644207,161.58202232204695,138.5684308644207
6.0,159.23937324662245,138.71826570151225,159.23937324662245,138.71826570151225
9.0,157.47270951030134,138.8680091102148,157.47270951030134,138.8680091102148
12.0,156.10895023557381,139.01766111234556,156.10895023557381,139.01766111234556
15.0,154.97501455537628,139.16722167019768,154.97501455537628,139.16722167019768
18.0,153.89782161722897,139.31669090767502,153.89782161722897,139.31669090767502
21.0,152.70429058588806,139.4660689063921,152.70429058588806,139.4660689063921
24.0,151.22134064452328,139.6153557285961,151.22134064452328,139.6153557285961
27.0,149.3112895614478,139.76455143369105,149.3112895614478,139.76455143369105
30.0,147.04884652306305,139.9136561357485,147.04884652306305,139.9136561357485
33.0,144.82730783254468,140.06266982371997,144.82730783254468,140.06266982371997
36.0,143.11076694017203,140.21159254693472,143.11076694017203,140.21159254693472
39.0,142.3633173073627,140.3604243689634,142.3633173073627,140.3604243689634
42.0,142.97394152620524,140.5091653496057,142.97394152620524,140.5091653496057
45.0,144.88095692708504,140.65781558726118,144.88095692708504,140.65781558726118
48.0,147.3466829423464,140.80637510739652,147.3466829423464,140.80637510739652
51.0,149.4832172498668,140.95484393692107,149.4832172498668,140.95484393692107
54.0,150.40265752691613,141.10322214020655,150.40265752691613,141.10322214020655
57.0,149.33267994414123,141.2515097774096,149.33267994414123,141.2515097774096
60.0,146.19443164329746,141.3997069064419,146.19443164329746,141.3997069064419
63.0,141.94926622341876,141.54781366547434,141.94926622341876,141.54781366547434
66.0,137.78969426834107,141.6958299826658,137.78969426834107,141.6958299826658
69.0,134.90822635385112,141.84375594671363,134.90822635385112,141.84375594671363
72.0,134.36719464332197,141.99159161856215,134.36719464332197,141.99159161856215
75.0,136.44786086963137,142.1393370564829,136.44786086963137,142.1393370564829
78.0,140.2598811241916,142.28699238602243,140.2598811241916,142.28699238602243
81.0,144.65255468086588,142.43455756391054,144.65255468086588,142.43455756391054
84.0,148.47518080265314,142.5820326616268,148.47518080265314,142.5820326616268
87.0,150.68368951305538,142.72941774060894,150.68368951305538,142.72941774060894
90.0,150.87379545358036,142.87671285932015,150.87379545358036,142.87671285932015
93.0,149.60089019832793,143.02391813587116,149.60089019832793,143.02391813587116
96.0,147.63362685359678,143.17103354327287,147.63362685359678,143.17103354327287
99.0,145.7406585150966,143.3180591434168,145.7406585150966,143.3180591434168
102.0,144.62439439243326,143.4649949978874,144.62439439243326,143.4649949978874
105.0,144.5897804304384,143.61184116515233,144.5897804304384,143.61184116515233
108.0,145.34556768214705,143.75859776030788,145.34556768214705,143.75859776030788
111.0,146.46801943983093,143.90526476208643,146.46801943983093,143.90526476208643
114.0,147.53339898704942,144.05184222939226,147.53339898704942,144.05184222939226
117.0,148.15593681318563,144.19833022364196,148.15593681318563,144.19833022364196
120.0,148.17766668427055,144.34472880313987,148.17766668427055,144.34472880313987
123.0,147.78232728568017,144.49103808355542,147.78232728568017,144.49103808355542
126.0,147.22959172415543,144.6372580407312,147.22959172415543,144.6372580407312
129.0,146.77913310016356,144.78338873597735,146.77913310016356,144.78338873597735
132.0,146.6906245083933,144.92943023029244,146.6906245083933,144.92943023029244
135.0,147.2237390382437,145.07538258167548,147.2237390382437,145.07538258167548
138.0,148.63814977430397,145.22124590895373,148.63814977430397,145.22124590895373
141.0,151.19352979682236,145.36702017884528,151.19352979682236,145.36702017884528
144.0,155.1495521821616,145.51270545893863,155.1495521821616,145.51270545893863
147.0,156.34216761075876,145.65830180962166,156.34216761075876,145.65830180962166
150.0,150.47302614459056,145.80380928851412,150.47302614459056,145.80380928851412
153.0,146.2130078032552,145.9492280193466,146.2130078032552,145.9492280193466
156.0,143.31887584650948,146.09455795549053,143.31887584650948,146.09455795549053
159.0,141.5473935322595,146.2397991734198,141.5473935322595,146.2397991734198
162.0,140.6553241169133,146.38495173280134,140.6553241169133,146.38495173280134
165.0,140.39943085571485,146.53001571967465,140.39943085571485,146.53001571967465
168.0,140.53647700305885,146.6749911776237,140.53647700305885,146.6749911776237
171.0,140.82322581278657,146.819878127152,140.82322581278657,146.819878127152
174.0,141.01644053846348,146.9646766304366,141.01644053846348,146.9646766304366
177.0,140.90485491254586,147.10938674590895,140.90485491254586,147.10938674590895
180.0,140.46902554116227,147.25400857772325,140.46902554116227,147.25400857772325
183.0,139.977243341061,147.39854212383625,139.977243341061,147.39854212383625
186.0,139.76174018745996,147.54298743394895,139.76174018745996,147.54298743394895
189.0,140.15474795642024,147.68734456847315,140.15474795642024,147.68734456847315
192.0,141.43864548931526,147.83161358484432,141.43864548931526,147.83161358484432
195.0,143.5966934144651,147.97579460209423,143.5966934144651,147.97579460209423
198.0,146.16347504016596,148.11988758062935,146.16347504016596,148.11988758062935
201.0,148.57386760475381,148.2638925941093,148.57386760475381,148.2638925941093
204.0,150.26274834813034,148.40780970150553,150.26274834813034,148.40780970150553
207.0,150.72731818432862,148.55163899512718,150.72731818432862,148.55163899512718
210.0,149.83872006391283,148.69538049917546,149.83872006391283,148.69538049917546
213.0,148.0290099914439,148.83903424796878,148.0290099914439,148.83903424796878
216.0,145.85489131831707,148.98260030215192,145.85489131831707,148.98260030215192
219.0,143.87306739789796,149.12607871915975,143.87306739789796,149.12607871915975
222.0,142.58883874553038,149.26946961324032,142.58883874553038,149.26946961324032
225.0,142.1990888383664,149.41277295364299,142.1990888383664,149.41277295364299
228.0,142.4380755952727,149.55598880951482,142.4380755952727,149.55598880951482
231.0,142.93725125715014,149.69911723952106,142.93725125715014,149.69911723952106
234.0,143.328068067036,149.84215833746765,143.328068067036,149.84215833746765
237.0,143.27706975210674,149.9851121212738,143.27706975210674,149.9851121212738
240.0,142.6613489336443,150.12797863020864,142.6613489336443,150.12797863020864
243.0,141.67382157301176,150.27075792415175,141.67382157301176,150.27075792415175
246.0,140.57758659770138,150.41345006001006,140.57758659770138,150.41345006001006
249.0,139.6357429373388,150.55605515592654,139.6357429373388,150.55605515592654
252.0,139.09174570746296,150.69857316895934,139.09174570746296,150.69857316895934
255.0,139.071187128484,150.84100417676825,139.071187128484,150.84100417676825
258.0,139.52286507704616,150.98334823711653,139.52286507704616,150.98334823711653
261.0,140.35628979943348,151.12560545323672,140.35628979943348,151.12560545323672
264.0,141.48097154394998,151.2677758173151,141.48097154394998,151.2677758173151
267.0,142.8041132490266,151.409859385641,142.8041132490266,151.409859385641
270.0,144.21907398388248,151.55185621675747,144.21907398388248,151.55185621675747
273.0,145.59844701290586,151.69376640197572,145.59844701290586,151.69376640197572
276.0,146.81021097864254,151.83558996158465,146.81021097864254,151.83558996158465
279.0,147.72234452547843,151.9773269348075,147.72234452547843,151.9773269348075
282.0,148.2028262995986,152.11897738079682,148.2028262995986,152.11897738079682
285.0,148.11963494894542,152.26054138230353,148.11963494894542,152.26054138230353
288.0,147.3407491231757,152.40201897963397,147.3407491231757,152.40201897963397
291.0,145.7341474736172,152.54341019996144,145.7341474736172,152.54341019996144
294.0,143.16780865322477,152.68471510282177,143.16780865322477,152.68471510282177
297.0,141.6560926111091,152.82593374470684,141.6560926111091,152.82593374470684
300.0,143.67499526744757,152.96706624097942,143.67499526744757,152.96706624097942
303.0,145.7484506206577,153.10811255025797,145.7484506206577,153.10811255025797
306.0,147.82077530257274,153.24907275097175,147.82077530257274,153.24907275097175
309.0,149.8362859464296,153.38994689991603,149.8362859464296,153.38994689991603
312.0,151.73929918682464,153.5307351062537,151.73929918682464,153.5307351062537
315.0,153.47413165966955,153.67143734254876,153.47413165966955,153.67143734254876
318.0,154.98510000214753,153.8120536790126,154.98510000214753,153.8120536790126
321.0,156.21652085267033,153.9525841726014,156.21652085267033,153.9525841726014
324.0,157.1127108508354,154.09302892856368,157.1127108508354,154.09302892856368
327.0,157.63334307261354,154.2333879278733,157.63334307261354,154.2333879278733
330.0,157.83022920645502,154.37366123594018,157.83022920645502,154.37366123594018
333.0,157.8933888589376,154.51384890973105,157.8933888589376,154.51384890973105
336.0,158.04355450811988,154.65395105267515,158.04355450811988,154.65395105267515
339.0,158.50145863304286,154.79396764902663,158.50145863304286,154.79396764902663
342.0,159.4524843554541,154.93389876256526,159.4524843554541,154.93389876256526
345.0,160.8699186485807,155.07374445012067,160.8699186485807,155.07374445012067
348.0,162.40890426237942,155.21350481510305,162.40890426237942,155.21350481510305
351.0,163.65388523116548,155.35317984061652,163.65388523116548,155.35317984061652
354.0,164.18930559005332,155.49276959154614,164.18930559005332,155.49276959154614
357.0,163.64994202314966,155.63227412445818,163.64994202314966,155.63227412445818
360.0,161.97256710465498,155.7716935441914,161.97256710465498,155.7716935441914
363.0,159.5469472435127,155.91102782911605,159.5469472435127,155.91102782911605
366.0,156.86351414578854,156.05027704742955,156.86351414578854,156.05027704742955
369.0,154.41269951818623,156.1894412553332,154.41269951818623,156.1894412553332
372.0,152.63856513439993,156.32852056019524,152.63856513439993,156.32852056019524
375.0,151.70695316699545,156.46751493292177,151.70695316699545,156.46751493292177
378.0,151.3663763865286,156.6064244466953,151.3663763865286,156.6064244466953
381.0,151.2726076968442,156.74524918004647,151.2726076968442,156.74524918004647
384.0,151.08142000228605,156.88398917492015,151.08142000228605,156.88398917492015
387.0,150.48063870329648,157.022644460846,150.48063870329648,157.022644460846
390.0,149.35040417451555,157.16121509554748,149.35040417451555,157.16121509554748
393.0,147.85932925163166,157.299701167465,147.85932925163166,157.299701167465
396.0,146.2401317619859,157.4381026925298,146.2401317619859,157.4381026925298
399.0,144.7255295333004,157.57641971679251,144.7255295333004,157.57641971679251
402.0,143.5331918146013,157.71465229694712,143.5331918146013,157.71465229694712
405.0,142.79049638091726,157.8528005303755,142.79049638091726,157.8528005303755
408.0,142.48938379609143,157.9908644094697,142.48938379609143,157.9908644094697
411.0,142.59169746615567,158.1288439952025,142.59169746615567,158.1288439952025
414.0,143.05928079742463,158.26673934334096,143.05928079742463,158.26673934334096
417.0,143.84840622440436,158.40455055927737,143.84840622440436,158.40455055927737
420.0,144.88192034940587,158.5422776142268,144.88192034940587,158.5422776142268
423.0,146.03255138044423,158.9512531278081,146.03255138044423,158.9512531278081
426.0,147.16252490668828,160.48332414058189,147.16252443950066,160.4829802994142
429.0,148.13757542668557,162.86658059026698,148.13755027492476,162.85751207182872
432.0,148.83106503121513,165.62364854189303,148.83080540879433,165.57154331935897
435.0,149.12426662290684,168.3750276771709,149.12295467712812,168.21216886339624
438.0,148.90174861803976,170.83642514044024,148.89741381111617,170.46536063515367
441.0,148.0450782141217,172.80771312062757,148.03414971079104,172.10966356650482
444.0,146.4294159544509,174.15921994410078,146.4064488763273,173.0037741709287
447.0,145.11270704361885,174.81818410970843,145.07028223644718,173.0726424104582
450.0,145.51629251903677,174.77455397402426,145.44506281096713,172.70483496288227
453.0,145.9058529264109,174.57573708680982,145.79470159732068,172.33413958339534
456.0,146.28217047180877,174.35850776816045,146.11844858436132,171.83620738707356
459.0,146.64235796822123,174.02658915732152,146.41217148068725,171.15543439896234
462.0,146.9806850748744,173.53879955521103,146.6692079530578,170.27761997469747
465.0,147.28916515340907,172.88511752791695,146.88095993096547,169.21140047447557
468.0,147.55796313844255,172.0725446087261,147.0372950711066,167.97711359827585
471.0,147.77578450403945,171.11672651927708,147.12691946669509,166.60011981670988
474.0,147.9304723189293,170.03702810722834,147.13795188803417,165.10692187328107
477.0,148.00937163525975,168.85371159365684,147.05826140874296,163.52298314929956
480.0,147.99758519210752,167.58636604856255,146.87369435068908,161.87158862743476
483.0,147.87758564862304,166.25308892612733,146.5676570876751,160.1733463115109
486.0,147.6347841823519,164.87011408787416,146.12665531070553,158.44606400290644
489.0,147.2594897304328,163.45171004935906,145.54222437207383,156.70485005138477
492.0,146.75272641859476,162.01022796768274,144.81671834239768,154.96232771176778
495.0,146.15428576392867,160.55622391303683,143.99133438439517,153.22889443737648
498.0,145.55909124505766,159.09862343656417,143.16245011748492,151.5129990451824
501.0,145.07659110703176,157.6448991228788,142.4409900500804,149.82141032223686
504.0,144.81854113593948,156.20124633055343,141.94018315615162,148.1594653205215
507.0,144.8772149308939,154.77274896664818,141.75374955678637,146.53129201294792
510.0,145.2197127473885,153.36353081338726,141.85018784469415,144.94000452603498
513.0,145.62440796131506,151.97689162543534,142.00920253421327,143.38787238830082
516.0,145.8275587692423,150.61542723890864,141.96829960470342,141.87646522584362
519.0,145.56501542939918,149.28113465260532,141.46448067971926,140.40677560210662
522.0,144.6054339161533,147.9755032671392,140.26744682281898,138.97932266920625
525.0,142.91723677721188,146.69959365620548,138.34655271752146,137.59423922030348
528.0,140.7687997887398,145.45410528082812,135.97098968725166,136.25134453477187
531.0,138.49451059740653,144.23943450620038,133.4758435074019,134.95020515688577
534.0,136.42794635259668,143.0557241823562,131.19527370262117,133.69018548408624
537.0,134.88020607394458,141.90290592987935,129.4408497164473,132.47048978502255
540.0,134.0314488351288,140.78073614570158,128.39309465220256,131.29019703209238
543.0,133.8658445927781,139.68882662089828,128.0364430290199,130.1482897231316
546.0,134.3235503375554,138.626670547283,128.31122485927125,129.04367768332156
549.0,135.34417649332627,137.59366458495094,129.1571406296939,127.97521768023275
552.0,136.8586498160677,136.58912756956533,130.50513313038363,126.9417295500718
555.0,138.74828165262315,135.61231635601533,132.2364647256749,125.94200941903048
